"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LLC_BI__Underwriting_Bundle__c","LLC_BI__Data_Source_Item__c","LLC_BI__Exclude__c","LLC_BI__lookupKey__c","LLC_BI__externalLookupKey__c"
"a4U79000002oBbLEAU","false","a4U8c000004yIjU","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","a1G7900000072nBEAQ","a4L79000000DPnlEAG","false","2f1abea7-bd20-4b55-a73a-4f1e49ee689f","2f1abea7-bd20-4b55-a73a-4f1e49ee689f"
"a4U79000002oBbMEAU","false","a4U8c000004yIjV","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","a1G7900000072nBEAQ","a4L79000000DPnmEAG","false","0d08ebf7-b1f6-4a1b-804c-e14fc00dda90","0d08ebf7-b1f6-4a1b-804c-e14fc00dda90"
"a4U79000002oBbNEAU","false","a4U8c000004yIjW","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","a1G7900000072nBEAQ","a4L79000000DPnnEAG","false","b2730a6c-db0f-4a7d-bc04-c2f8331b893d","b2730a6c-db0f-4a7d-bc04-c2f8331b893d"
"a4U79000002oBbOEAU","false","a4U8c000004yIjX","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","a1G7900000072nBEAQ","a4L79000000DPnoEAG","false","190f7a8e-5212-4166-82fa-2acdddea5120","190f7a8e-5212-4166-82fa-2acdddea5120"
"a4U79000002oBbPEAU","false","a4U8c000004yIjY","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","a1G7900000072nBEAQ","a4L79000000DPnpEAG","false","b6ca6c27-679c-4e42-a381-ffe270d6b237","b6ca6c27-679c-4e42-a381-ffe270d6b237"
"a4U79000002oBbQEAU","false","a4U8c000004yIjZ","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","a1G7900000072nBEAQ","a4L79000000DPnqEAG","false","baf8074a-3057-41f6-9e5f-6f7aceb64d52","baf8074a-3057-41f6-9e5f-6f7aceb64d52"
"a4U79000002oBbREAU","false","a4U8c000004yIja","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","a1G7900000072nBEAQ","a4L79000000DPnrEAG","false","d4a86796-19e3-45da-851e-35ff8843cae6","d4a86796-19e3-45da-851e-35ff8843cae6"
"a4U79000002oBbSEAU","false","a4U8c000004yIjb","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","a1G7900000072nBEAQ","a4L79000000DPnsEAG","false","d206af08-5e3a-441b-8771-97207b163f2c","d206af08-5e3a-441b-8771-97207b163f2c"
"a4U79000002oBbTEAU","false","a4U8c000004yIjc","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","a1G7900000072nBEAQ","a4L79000000DPntEAG","false","9d007f39-6e57-48cb-8b2c-9e0299869e0b","9d007f39-6e57-48cb-8b2c-9e0299869e0b"
"a4U79000002oBbUEAU","false","a4U8c000004yIjd","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","a1G7900000072nBEAQ","a4L79000000DPnuEAG","false","8296064c-8b33-4389-8510-9e0bf45e80af","8296064c-8b33-4389-8510-9e0bf45e80af"
"a4U79000002oBbVEAU","false","a4U8c000004yIje","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","a1G7900000072nBEAQ","a4L79000000DPnvEAG","false","1e9245ad-78e9-4e29-b571-c901b4353a25","1e9245ad-78e9-4e29-b571-c901b4353a25"
"a4U79000002oBbWEAU","false","a4U8c000004yIjf","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","a1G7900000072nBEAQ","a4L79000000DPnwEAG","false","6c1c1f90-038b-4299-9b75-77d4dd0c4514","6c1c1f90-038b-4299-9b75-77d4dd0c4514"
"a4U79000002oBbXEAU","false","a4U8c000004yIjg","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","a1G7900000072nBEAQ","a4L79000000DPnxEAG","false","bd70e57f-0cc3-437c-b469-e2073c448383","bd70e57f-0cc3-437c-b469-e2073c448383"
"a4U79000002oBbYEAU","false","a4U8c000004yIjh","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","a1G7900000072nBEAQ","a4L79000000DPnyEAG","false","1dcb3ba4-c622-4c66-aef4-55f52dd97264","1dcb3ba4-c622-4c66-aef4-55f52dd97264"
"a4U79000002oBbZEAU","false","a4U8c000004yIji","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","a1G7900000072nBEAQ","a4L79000000DPnzEAG","false","1f8a32d9-6827-4337-9cc6-de8196c8894e","1f8a32d9-6827-4337-9cc6-de8196c8894e"
"a4U79000002oBbaEAE","false","a4U8c000004yIjj","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","a1G7900000072nBEAQ","a4L79000000DPo0EAG","false","10a21916-2164-4d8f-bcaa-d604cb87fee5","10a21916-2164-4d8f-bcaa-d604cb87fee5"
"a4U79000002oBbbEAE","false","a4U8c000004yIjk","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","a1G7900000072nBEAQ","a4L79000000DPo1EAG","false","d8799928-ac36-4e00-a353-41b191e52910","d8799928-ac36-4e00-a353-41b191e52910"
"a4U79000002oBbcEAE","false","a4U8c000004yIjl","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","0058c00000BxeO9AAJ","2024-08-26T17:37:32.000Z","a1G7900000072nBEAQ","a4L79000000DPo2EAG","false","f92556dc-1471-4e2d-9e52-cfd649948625","f92556dc-1471-4e2d-9e52-cfd649948625"
