"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","nFORCE__Archived_Date__c","nFORCE__Context_Id__c","nFORCE__Context_Owner_Id__c","nFORCE__Is_Archived__c","nFORCE__Label__c","nFORCE__Question__c","nFORCE__Answer__c","nFORCE__Currency_Answer__c","nFORCE__Number_Answer__c","AutorabitExtId__c"
"a1K8c00000gzIYKEA2","0058c00000BxeO9AAJ","false","A-000157","2022-03-29T14:36:02.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","","","","","0038c00002jfz6AAAQ","false","","a308c000000GIOWAA4","","","",""
"a1K8c00000gzIYLEA2","0058c00000BxeO9AAJ","false","A-000158","2022-03-29T14:36:02.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","","","","","0038c00002jfz6AAAQ","false","","a308c000000GIOXAA4","","","",""
"a1K8c00000gzIYMEA2","0058c00000BxeO9AAJ","false","A-000159","2022-03-29T14:36:02.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","","","","","0038c00002jfz6AAAQ","false","","a308c000000GIOYAA4","","","",""
"a1K8c00000gzIYNEA2","0058c00000BxeO9AAJ","false","A-000160","2022-03-29T14:36:02.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","0058c00000BxeO9AAJ","2024-11-08T14:35:59.000Z","","","","","0038c00002jfz6AAAQ","false","","a308c000000GIOZAA4","","","",""
"a1K8c00000iVnPREA0","0058c00000BxeO9AAJ","false","A-000623","2024-12-20T08:44:51.000Z","0058c00000BxeO9AAJ","2024-12-20T08:44:51.000Z","0058c00000BxeO9AAJ","2024-12-20T08:44:51.000Z","2024-12-20T08:44:51.000Z","2024-12-20T08:44:51.000Z","","a0i8c00000TrLhCAAV","","false","","a308c000000BgpsAAC","","","",""
"a1K8c00000iVnPSEA0","0058c00000BxeO9AAJ","false","A-000624","2024-12-20T08:44:51.000Z","0058c00000BxeO9AAJ","2024-12-20T08:44:51.000Z","0058c00000BxeO9AAJ","2024-12-20T08:44:51.000Z","2024-12-20T08:44:51.000Z","2024-12-20T08:44:51.000Z","","a0i8c00000TrLhCAAV","","false","","a308c000000lZIcAAM","","","",""
"a1K8c00000iVnPTEA0","0058c00000BxeO9AAJ","false","A-000625","2024-12-20T08:44:51.000Z","0058c00000BxeO9AAJ","2024-12-20T08:44:51.000Z","0058c00000BxeO9AAJ","2024-12-20T08:44:51.000Z","2024-12-20T08:44:51.000Z","2024-12-20T08:44:51.000Z","","a0i8c00000TrLhCAAV","","false","","a308c000000dYTcAAM","","","",""
"a1K8c00000iVnPUEA0","0058c00000BxeO9AAJ","false","A-000626","2024-12-20T08:44:51.000Z","0058c00000BxeO9AAJ","2024-12-20T08:44:51.000Z","0058c00000BxeO9AAJ","2024-12-20T08:44:51.000Z","2024-12-20T08:44:51.000Z","2024-12-20T08:44:51.000Z","","a0i8c00000TrLhCAAV","","false","","a308c000000dYSOAA2","","","",""
"a1K8c00000iVnPVEA0","0058c00000BxeO9AAJ","false","A-000627","2024-12-20T08:44:51.000Z","0058c00000BxeO9AAJ","2024-12-20T08:44:51.000Z","0058c00000BxeO9AAJ","2024-12-20T08:44:51.000Z","2024-12-20T08:44:51.000Z","2024-12-20T08:44:51.000Z","","a0i8c00000TrLhCAAV","","false","","a308c000000GIOsAAO","","","",""
"a1K8c00000iVnPWEA0","0058c00000BxeO9AAJ","false","A-000628","2024-12-20T08:44:51.000Z","0058c00000BxeO9AAJ","2024-12-20T08:44:51.000Z","0058c00000BxeO9AAJ","2024-12-20T08:44:51.000Z","2024-12-20T08:44:51.000Z","2024-12-20T08:44:51.000Z","","a0i8c00000TrLhCAAV","","false","","a308c000000BgzRAAS","","","",""
"a1K8c00000iVnPXEA0","0058c00000BxeO9AAJ","false","A-000629","2024-12-20T08:44:51.000Z","0058c00000BxeO9AAJ","2024-12-20T08:44:51.000Z","0058c00000BxeO9AAJ","2024-12-20T08:44:51.000Z","2024-12-20T08:44:51.000Z","2024-12-20T08:44:51.000Z","","a0i8c00000TrLhCAAV","","false","","a308c000000dYTdAAM","","","",""
