"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","LLC_BI__Budget__c","LLC_BI__Amount_Budgeted__c","LLC_BI__Description__c","LLC_BI__Notes__c","LLC_BI__Order__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Budgeted__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_of_Budget__c","LLC_BI__Remaining_Disbursement__c","LLC_BI__Template_Percent_of_Budget__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__lookupKey__c","LLC_BI__Category__c"
"a2379000000cDhpAAE","false","CLA-BD-0008184","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1INAA0","","Design Fees","","210.0","","","0.0","","","0.0","","","uc6i1l1urswbjm44po","Soft cost"
"a2379000000cDhqAAE","false","CLA-BD-0008185","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IMAA0","","Contingency - Soft Costs","","11.0","","","0.0","","0.0","0.0","","","udnn3mz5p3x6qhaeoo","Soft cost"
"a2379000000cDhrAAE","false","CLA-BD-0008186","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1I4AAK","","Slide","","100.0","","","0.0","","","0.0","","","ue428dn03iw7px2buc",""
"a2379000000cDhsAAE","false","CLA-BD-0008187","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IHAA0","1800.0","Insurance","","330.0","","","0.0","100.0","0.12","1800.0","","","uk5akgxl8trbhvehfs",""
"a2379000000cDhtAAE","false","CLA-BD-0008188","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1I2AAK","55258.0","Sheathing","","70.0","","","0.0","100.0","3.6839","55258.0","","0.0","uq66yh0cntq5r0fujb","Hard cost"
"a2379000000cDhuAAE","false","CLA-BD-0008189","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IOAA0","","Siding","","130.0","","","0.0","","","0.0","","","usbre3ysfhdu2yy1ob","Hard cost"
"a2379000000cDhvAAE","false","CLA-BD-0008190","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IIAA0","","Drywall","","200.0","","","0.0","","0.0","0.0","","","uzry04soxup5lvkzs9",""
"a2379000000cDhwAAE","false","CLA-BD-0008191","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IHAA0","12000.0","Asphalt / Driveway","","270.0","","","0.0","100.0","0.8","12000.0","","","v4bmayl74noy4ignqm",""
"a2379000000cDhxAAE","false","CLA-BD-0008192","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IKAA0","","Slide","","100.0","","","0.0","","","0.0","","","v4gxmchp20ynubnw76",""
"a2379000000cDhyAAE","false","CLA-BD-0008193","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IPAA0","","Exterior Doors","","90.0","","","0.0","","","0.0","","","vbiv9dpdew8rxkweii","Hard cost"
