"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__Alternate_Label__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Hidden__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__Route__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c","nFORCE__Is_Editable__c","nFORCE__Autocomplete_Attribute_Value__c","nFORCE__Is_Header__c","nFORCE__Is_Important__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Is_Active__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Defined_Picklist_Values__c","nFORCE__Address_Part__c","nPortal__Picklist_Buttons_Enabled__c"
"a3THo000000zAusMAE","005Ho00000AXMAwIAP","","FC-000000","2023-10-31T13:56:27.000Z","005Ho00000AXMAwIAP","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","","","","","","","nFORCE__Field_Name__c","","false","","","true","false","false","","","","a2FHo000003XBcRMAW","","false","","a3THo000000zAusMAE","nFORCE__Field_Configuration__c","false","","false","false","","","false","false","false","","","false"
"a3THo000000zAutMAE","005Ho00000AXMAwIAP","","FC-000001","2023-10-31T13:56:27.000Z","005Ho00000AXMAwIAP","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","","","","","","","nFORCE__Field_Name__c","","false","","","true","false","false","","","","a2FHo000003XBcRMAW","","false","","a3THo000000zAutMAE","nFORCE__Field_Configuration__c","false","","false","false","","","false","false","false","","","false"
"a3THo000000zAuuMAE","005Ho00000AXMAwIAP","","FC-000002","2023-10-31T13:56:27.000Z","005Ho00000AXMAwIAP","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","","","","","","","nFORCE__Field_Name__c","","false","","","true","false","false","","","","a2FHo000003XBcRMAW","","false","","a3THo000000zAuuMAE","nFORCE__Field_Configuration__c","false","","false","false","","","false","false","false","","","false"
"a3THo000000zAuvMAE","005Ho00000AXM6UIAX","","FC-000004","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","","","","","","","LLC_BI__Tiers__c","","false","","","false","false","false","","","","a2FHo000003XBcnMAG","","false","","a3THo000000zAuvMAE","LLC_BI__Bill_Point__c","false","","false","false","","","false","false","false","","","false"
"a3THo000000zAuwMAE","005Ho00000AXM6UIAX","","FC-000005","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","","","","","","","LLC_BI__Price__c","","false","","","false","false","false","","","","a2FHo000003XBcnMAG","","false","","a3THo000000zAuwMAE","LLC_BI__Bill_Point__c","false","","false","false","","","false","false","false","","","false"
"a3THo000000zAuyMAE","005Ho00000AXM6UIAX","","FC-000019","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","","","Legal Business Name","","","","Name","","false","","","false","false","false","","a2EHo00000Cw9DbMAJ","","","","false","","a3THo000000zAuyMAE","Account","false","","false","false","","","false","false","false","","","false"
"a3THo000000zAuzMAE","005Ho00000AXM6UIAX","","FC-000020","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","","","Tax Identification Number (TIN)","","","XX-XXXXXXX","LLC_BI__Tax_Identification_Number__c","","false","","","false","false","false","","a2EHo00000Cw9DbMAJ","1.0","","As a federally regulated bank, we are required to know our customers. We use your TIN to pull your credit bureau data, which allows us to process your application.","true","Why do we need this?","a3THo000000zAuzMAE","Account","false","","false","false","","","false","false","false","","","false"
"a3THo000000zAv0MAE","005Ho00000AXM6UIAX","","FC-000021","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","","","What industry does your business belong to?","","","","Industry","","false","","","false","false","false","","a2EHo00000Cw9DbMAJ","","","","false","","a3THo000000zAv0MAE","Account","false","","false","false","","","false","false","false","","","false"
"a3THo000000zAv1MAE","005Ho00000AXM6UIAX","","FC-000022","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","","","Number of employees","","","","NumberOfEmployees","","false","","","false","false","false","","a2EHo00000Cw9DbMAJ","","","","false","","a3THo000000zAv1MAE","Account","false","","false","false","","","false","false","false","","","false"
"a3THo000000zAv2MAE","005Ho00000AXM6UIAX","","FC-000023","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","","","Legal Entity Type","","","","Type","","false","","","false","false","false","","a2EHo00000Cw9DbMAJ","","","","false","","a3THo000000zAv2MAE","Account","false","","false","false","","","false","false","false","","","false"
"a3THo000000zAv3MAE","005Ho00000AXM6UIAX","","FC-000024","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","","","Shipping Address","","","","ShippingStreet","","false","","","false","false","false","","a2EHo00000Cw9DbMAJ","","","","false","","a3THo000000zAv3MAE","Account","false","","false","false","","","false","false","false","","","false"
"a3THo000000zAv4MAE","005Ho00000AXM6UIAX","","FC-000025","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","","","City","","","","ShippingCity","","false","","","false","false","false","","a2EHo00000Cw9DbMAJ","","","","false","","a3THo000000zAv4MAE","Account","false","","false","false","","","false","false","false","","","false"
"a3THo000000zAv5MAE","005Ho00000AXM6UIAX","","FC-000026","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","","","State","","","","ShippingState","","false","","","false","false","false","","a2EHo00000Cw9DbMAJ","2.0","","","false","","a3THo000000zAv5MAE","Account","false","","false","false","","","false","false","false","","","false"
"a3THo000000zAv6MAE","005Ho00000AXM6UIAX","","FC-000027","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","","","ZIP","","","","ShippingPostalCode","","false","","","false","false","false","","a2EHo00000Cw9DbMAJ","2.0","","","false","","a3THo000000zAv6MAE","Account","false","","false","false","","","false","false","false","","","false"
"a3THo000000zAv7MAE","005Ho00000AXM6UIAX","","FC-000028","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","","","Billing Address","","","","BillingStreet","","false","","","false","false","false","","a2EHo00000Cw9DbMAJ","","","","false","","a3THo000000zAv7MAE","Account","false","","false","false","","","false","false","false","","","false"
"a3THo000000zAv8MAE","005Ho00000AXM6UIAX","","FC-000029","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","","","City","","","","BillingCity","","false","","","false","false","false","","a2EHo00000Cw9DbMAJ","","","","false","","a3THo000000zAv8MAE","Account","false","","false","false","","","false","false","false","","","false"
"a3THo000000zAv9MAE","005Ho00000AXM6UIAX","","FC-000030","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","","","State","","","","BillingState","","false","","","false","false","false","","a2EHo00000Cw9DbMAJ","2.0","","","false","","a3THo000000zAv9MAE","Account","false","","false","false","","","false","false","false","","","false"
"a3THo000000zAvAMAU","005Ho00000AXM6UIAX","","FC-000031","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","","","ZIP","","","","BillingPostalCode","","false","","","false","false","false","","a2EHo00000Cw9DbMAJ","2.0","","","false","","a3THo000000zAvAMAU","Account","false","","false","false","","","false","false","false","","","false"
"a3THo000000zAvBMAU","005Ho00000AXM6UIAX","","FC-000032","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","","","Social Security Number (SSN)","","","XXX-XX-XXXX","LLC_BI__SS__c","","false","","","false","false","false","","a2EHo00000Cw9DcMAJ","1.0","","As a federally regulated bank, we are required to know our customers. We use your SSN to pull your credit bureau data, which allows us to process your application.","true","Why do we need this?","a3THo000000zAvBMAU","Contact","false","","false","false","","","false","false","false","","","false"
"a3THo000000zAvCMAU","005Ho00000AXM6UIAX","","FC-000033","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","","","Mobile Phone Number","","","","MobilePhone","","false","","","false","false","false","","a2EHo00000Cw9DcMAJ","","","","false","","a3THo000000zAvCMAU","Contact","false","","false","false","","","false","false","false","","","false"
"a3THo000000zAvDMAU","005Ho00000AXM6UIAX","","FC-000034","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","","","Residential Address","","","","LLC_BI__Home_Address__c","","false","","","false","false","false","","a2EHo00000Cw9DcMAJ","","","","false","","a3THo000000zAvDMAU","Contact","false","","false","false","","","false","false","false","","","false"
