"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__App__c","nFORCE__lookupKey__c","nFORCE__Default_Collapse_Parent_Navigation__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Parent_Group__c","nFORCE__Screen__c","nFORCE__Taxonomy_Id__c","nFORCE__Category__c","nFORCE__Layout__c","nFORCE__Answer_Context__c","Description_Custom__c","nFORCE__Description__c","nPortal__Context_Type__c","nPortal__Is_Portal_Enabled__c"
"a2BHo000002VvpXMAS","005Ho00000AXMAxIAP","","Deal Management Workspace: Loan","2023-10-31T13:56:27.000Z","005Ho00000AXMAxIAP","2023-10-31T13:56:27.000Z","005Ho00000AXMAxIAP","","","","","","dmw-group-loan","dmwui-42926525468","false","false","false","","","","","","","","","","false"
"a2BHo000002VvpYMAS","005Ho00000AXM6UIAX","","Reg O Loan Questionnaire","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:16.000Z","005Ho00000AXM6UIAX","","","","","","Reg-O-Loan-Questionnaire","42403246748782453","false","false","true","","","","","","","","","","false"
"a2BHo000002VvpZMAS","005Ho00000AXM6UIAX","","Reg W","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:16.000Z","005Ho00000AXM6UIAX","","","","","","Reg-W","42609568878702857","false","false","true","","","","","","","","","","false"
"a2BHo000002VvpaMAC","005Ho00000AXM6UIAX","","HVCRE","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:16.000Z","005Ho00000AXM6UIAX","","","","","","HVCRE","42088290342052409","false","false","true","","","","","","","","","","false"
"a2BHo000002VvpbMAC","005Ho00000AXM6UIAX","","CRA","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:16.000Z","005Ho00000AXM6UIAX","","","","","","CRA","42628075973481801","false","false","true","","","","","","","","","","false"
"a2BHo000002VvpcMAC","005Ho00000AXM6UIAX","","Product Package Details","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:16.000Z","005Ho00000AXM6UIAX","","","","","","pp-details","42543592196307027","false","false","false","","","pp-details","","","","","","","false"
"a2BHo000002VvpdMAC","005Ho00000AXMAxIAP","","Deal Management Workspace: Treasury","2023-10-31T13:56:27.000Z","005Ho00000AXMAxIAP","2023-10-31T13:56:27.000Z","005Ho00000AXMAxIAP","","","","","","dmw-group-treasury","dmwui-42947458925","false","false","false","","","","","","","","","","false"
"a2BHo000002VvpeMAC","005Ho00000AXM6UIAX","","Treasury Proforma","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:16.000Z","005Ho00000AXM6UIAX","","","","","","treasury-proforma","42632675207231296","false","false","false","","","treasury-proforma","","","","","","","false"
"a2BHo000002VvpfMAC","005Ho00000AXM6UIAX","","HMDA Questionnaire","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:16.000Z","005Ho00000AXM6UIAX","","","","","","HMDA-questionnaire","42198546854157256","false","false","true","","","","","","","","","","false"
"a2BHo000002VvpgMAC","005Ho00000AXM6UIAX","","Individual KYC","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:16.000Z","005Ho00000AXM6UIAX","","","","","","","42245838511199639","false","false","true","","","","","","","","","","false"
"a2BHo000002VvphMAC","005Ho00000AXM6UIAX","","Business KYC","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:16.000Z","005Ho00000AXM6UIAX","","","","","","bus-kyc","42940369988812827","false","false","true","","","","","","","","","","false"
"a2BHo000002VvpiMAC","005Ho00000AXM6UIAX","","Customer Portal","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:16.000Z","005Ho00000AXM6UIAX","","","","","","customer-portal","42618985083488670","false","false","false","","","customer-portal","Customer Dashboard","a2CHo000006EEuGMAW","","","","","true"
"a2BHo000002VvpjMAC","005Ho00000AXM6UIAX","","Counterparty Report","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:16.000Z","005Ho00000AXM6UIAX","","","","","","counterparty-report","42604168176930459","false","false","false","","a2GHo000001ueIrMAI","counterparty-report","","","","","","","false"
"a2BHo000002VvpkMAC","005Ho00000AXM6UIAX","","Treasury Service Maintenance","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:16.000Z","005Ho00000AXM6UIAX","","","","","","treasury-service-maintenance","42328704188845287","false","false","false","","a2GHo000001ueIsMAI","treasury-service-maintenance","","","","","","","false"
