"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__Group__c","nFORCE__Is_Hidden__c","nFORCE__Order__c","nFORCE__Parent_Route__c","nFORCE__Route__c","nFORCE__lookupKey__c","nFORCE__Conditional_Display_Criteria_Context__c","nFORCE__Orchestration_Step__c","nFORCE__Primary_Button_Text__c","nPortal__Is_Portal_Enabled__c","nFORCE__Has_Visibility_Criteria__c","nFORCE__Is_Default_Context_Child__c","nFORCE__Is_Forward_Navigation_Disabled__c","nFORCE__Question_Group__c","nFORCE__Visibility_Criteria__c","Route_App_Name__c","Route_Screen__c","nFORCE__Conditional_Display_Criteria__c","nPortal__OA_Auto_Decision_Required__c","nPortal__OA_Business_Credit_Pull_Required__c","nPortal__OA_Credit_Pull_Required__c"
"a2DHo00000HsWkOMAV","005Ho00000AXM6UIAX","","19790","2023-11-03T19:41:16.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:34.000Z","005Ho00000AXM6UIAX","","","","","","a2BHo000002VxiSMAS","false","90.0","a2EHo00000CwA9XMAV","a2EHo00000CwA9YMAV","a2D4S0000000FuNUAU","","","","false","false","false","false","","","","","","false","false","false"
"a2DHo00000HsWkPMAV","005Ho00000AXM6UIAX","","19791","2023-11-03T19:41:16.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:34.000Z","005Ho00000AXM6UIAX","","","","","","a2BHo000002VxiSMAS","false","10.0","","a2EHo00000CwA9XMAV","42353209701490865","","","","false","false","false","false","","","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Booked""}}{{SHOW_ROUTE}}{{ENDIF}}","false","false","false"
"a2DHo00000HsWkQMAV","005Ho00000AXM6UIAX","","19792","2023-11-03T19:41:16.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:34.000Z","005Ho00000AXM6UIAX","","","","","","a2BHo000002VxiMMAS","false","600.0","","a2EHo00000CwAoLMAV","a2D4S0000000FvpUAE","","","","false","false","false","false","","","","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Auto_Decision_Status__c"" IS=""Auto Decline""}}{{SHOW_ROUTE}}{{ENDIF}}","false","false","false"
"a2DHo00000HsWkRMAV","005Ho00000AXM6UIAX","","19793","2023-11-03T19:41:16.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:34.000Z","005Ho00000AXM6UIAX","","","","","","a2BHo000002VxiRMAS","false","25.0","a2EHo00000CwAo4MAF","a2EHo00000CwAAFMA3","a2D4S0000000G0GUAU","","","","true","false","false","false","","","","","","false","false","false"
"a2DHo00000HsWkSMAV","005Ho00000AXM6UIAX","","19794","2023-11-03T19:41:16.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:34.000Z","005Ho00000AXM6UIAX","","","","","","a2BHo000002VxiRMAS","false","30.0","a2EHo00000CwAo4MAF","a2EHo00000CwACyMAN","42944543487340239","","","","true","false","false","false","","","","","","false","false","false"
"a2DHo00000HsWkTMAV","005Ho00000AXM6UIAX","","19795","2023-11-03T19:41:16.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:34.000Z","005Ho00000AXM6UIAX","","","","","","a2BHo000002VxiTMAS","false","10.0","","a2EHo00000CwAoMMAV","36421603129896613","","","","true","false","false","false","","","","","","false","false","false"
"a2DHo00000HsWkUMAV","005Ho00000AXM6UIAX","","19796","2023-11-03T19:41:16.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:34.000Z","005Ho00000AXM6UIAX","","","","","","a2BHo000002VxiTMAS","false","20.0","a2EHo00000CwAoMMAV","a2EHo00000CwACxMAN","83651603129896614","","","","true","false","false","false","","","","","","false","false","false"
"a2DHo00000HsWkVMAV","005Ho00000AXM6UIAX","","19797","2023-11-03T19:41:16.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:34.000Z","005Ho00000AXM6UIAX","","","","","","a2BHo000002VxiTMAS","false","25.0","a2EHo00000CwAoMMAV","a2EHo00000CwAnyMAF","76141603129896614","","","","true","false","false","false","","","","","{{IF=""A AND B""}}{{COND=""A"" FIELD=""LLC_BI__Application__c.nPortal__Applicant__r.Contact.LLC_BI__Id_Scan_Status__c"" NOT=""ID Scan Success""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Application__r.nPortal__Applicant__r.Contact.LLC_BI__Id_Scan_Status__c"" NOT=""ID Scan Success""}}{{SHOW_ROUTE}}{{ENDIF}}","false","false","false"
"a2DHo00000HsWkWMAV","005Ho00000AXM6UIAX","","19798","2023-11-03T19:41:16.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:34.000Z","005Ho00000AXM6UIAX","","","","","","a2BHo000002VxiTMAS","false","30.0","a2EHo00000CwAoMMAV","a2EHo00000CwAAEMA3","81051603129896615","","","","true","false","false","false","","","","","","false","false","true"
"a2DHo00000HsWkXMAV","005Ho00000AXM6UIAX","","19799","2023-11-03T19:41:16.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:34.000Z","005Ho00000AXM6UIAX","","","","","","a2BHo000002VxiTMAS","true","49.0","a2EHo00000CwAoMMAV","a2EHo00000CwAnzMAF","50031603129896616","","","","true","false","false","false","","","","","{{IF=""A AND B""}}{{COND=""A"" FIELD=""LLC_BI__Application__c.nPortal__Applicant__r.Contact.LLC_BI__Identity_Verification_Status__c"" NOT=""Pass""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Application__r.nPortal__Applicant__r.Contact.LLC_BI__Identity_Verification_Status__c"" NOT=""Pass""}}{{SHOW_ROUTE}}{{ENDIF}}","false","false","false"
