"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__Agreement_Text__c","nFORCE__Document__c","nFORCE__Route__c","nFORCE__lookupKey__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Review_And_Accept_Document__c","nFORCE__Conditional_Display_Criteria_Context__c"
"a3VHo0000012CImMAM","005Ho00000AXM6UIAX","","Sample All In One Disclosure","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","","","","","","Please review and accept the terms of this {0}.","0154S0000000tmqQAA","a2EHo00000CwAjaMAF","42037433347546789","","true",""
"a3VHo0000012CInMAM","005Ho00000AXM6UIAX","","Sample Consent","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","","","","","","I consent to receive electronic communications and transactions from nCino Demo Bank.","4ergsad4gs","a2EHo00000CwA9lMAF","42236359093427903","","false",""
"a3VHo0000012CIoMAM","005Ho00000AXM6UIAX","","Privacy Policy","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","","","","","","I acknowledge that I have read and agree to the {0}.","x","a2EHo00000CwAjpMAF","42653973224039443","","false",""
"a3VHo0000012CIpMAM","005Ho00000AXM6UIAX","","Sample All In One Disclosure","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","","","","","","Please review and accept the terms of this {0}.","0154S0000000tmq","a2EHo00000CwAjpMAF","42011415873586934","","true",""
"a3VHo0000012CIqMAM","005Ho00000AXM6UIAX","","Sample Route Terms","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","","","","","","I, {0}, acknowledge that the above information is up-to-date and that {1} has reviewed {2}.","null","a2EHo00000CwA9rMAF","42891312219419775","","false",""
"a3VHo0000012CIrMAM","005Ho00000AXM6UIAX","","Credit Consent","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","","","","","","I have read the {0} document and authorize Demo Bank to pull my credit.","0","a2EHo00000CwAAEMA3","42394404889756043","","false",""
"a3VHo0000012CIsMAM","005Ho00000AXM6UIAX","","Credit Consent","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","","","","","","I agree to the credit consent report and authorize TigerStrike Bank to pull my credit.","0","a2EHo00000CwAAGMA3","42579037291547076","","false",""
"a3VHo0000012CItMAM","005Ho00000AXM6UIAX","","Sample Consent","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","","","","","","I consent to receive electronic communications and transactions from nCino Demo Bank.","0","a2EHo00000CwAAGMA3","42492542544276623","","false",""
"a3VHo0000012CIuMAM","005Ho00000AXM6UIAX","","Sample Consent","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","","","","","","I consent to receive electronic communications and transactions from Demo Bank.","4ergsad4gs","a2EHo00000CwAAEMA3","42965142988363175","","false",""
"a3VHo0000012CIyMAM","005Ho00000AXM6UIAX","","Privacy Policy","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","","","","","","I acknowledge that I have read and agree to the {0}.","x","a2EHo00000CwAd2MAF","42063010710328926","","false",""
"a3VHo0000012CJ4MAM","005Ho00000AXM6UIAX","","Credit Consent","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","","","","","","I have read the {0} document and authorize Demo Bank to pull my credit.","0","a2EHo00000CwADxMAN","86211666029077877","","false",""
"a3VHo0000012CJ5MAM","005Ho00000AXM6UIAX","","Joint Intent","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","","","","","","I agree to Joint Intent","0","a2EHo00000CwADxMAN","86991666029077878","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.cm_Applying_with_Co_Applicant__c"" IS=""Yes""}}{{SHOW_ROUTE}}{{ENDIF}}","false",""
"a3VHo0000012CJ6MAM","005Ho00000AXM6UIAX","","Privacy Policy","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","","","","","","I acknowledge that I have read and agree to the {0}.","x","a2EHo00000CwArBMAV","76921666029077878","","false",""
"a3VHo0000012CJ7MAM","005Ho00000AXM6UIAX","","Sample All In One Disclosure","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","","","","","","Please review and accept the terms of this {0}.","0155f000000VvvX","a2EHo00000CwArBMAV","46251666029077878","","true",""
"a3VHo0000012CJ8MAM","005Ho00000AXM6UIAX","","E-Sign Agreement","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","2023-11-03T19:41:44.000Z","005Ho00000AXM6UIAX","","","","","","I consent to receive electronic communications and transactions from nCino Demo Bank.","0155f000000Wb7d","a2EHo00000CwADsMAN","26511666029077879","","true",""
