"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Screen__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Parent_Screen_Section__c","nFORCE__Number_of_Columns__c","Custom_Code_in_Screen_Section__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Validation_Service__c","nPortal__Portal_Header_Text__c","nPortal__Portal_Subheader_Text__c"
"a2FHo000003XBXgMAO","","Enhanced Fees Management","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:43.000Z","005Ho00000AXM6UIAX","","","","a2GHo000001ueI4MAI","false","false","true","true","false","0.0","slide","true","false","false","false","","true","","a2IHo000002BxwtMAC","MappedSObjectHierarchyScreenResource","","42959339373236524","LLC_BI__Loan__c","false","false","","","","","false","false","","",""
"a2FHo000003XBXhMAO","","Add Non Standard Fee","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:43.000Z","005Ho00000AXM6UIAX","","","","a2GHo000001ueI4MAI","false","false","true","true","false","1.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42390442217238179","LLC_BI__Fee__c","false","false","","","","","false","false","","",""
"a2FHo000003XBXiMAO","","Enhanced Fee Loan Aggregate Summary","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:43.000Z","005Ho00000AXM6UIAX","","","","a2GHo000001ueI4MAI","false","false","false","true","false","2.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","42342443550777061","LLC_BI__Fee_Loan_Aggregate__c","false","false","","","","","false","false","","",""
"a2FHo000003XBXjMAO","","System Properties","2023-10-31T13:56:27.000Z","005Ho00000AXMAwIAP","2023-11-03T19:42:44.000Z","005Ho00000AXM6UIAX","","","","a2GHo000001ueI5MAI","false","false","true","true","false","1.0","slide","true","false","false","false","","true","","a2IHo000002BxwrMAC","CustomSettingsListScreenResource","","42982998390932528","nFORCE__System_Properties__c","false","false","","","","","false","false","","",""
"a2FHo000003XBXlMAO","","Enhanced Fees Management","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","a2GHo000001ueMZMAY","false","false","true","true","false","0.0","slide","true","false","false","false","","true","","","MappedSObjectHierarchyScreenResource","","14331619447515161","LLC_BI__Loan__c","false","false","","","","","false","false","","",""
"a2FHo000003XBXmMAO","","Enhanced Fees Management","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","a2GHo000001ueN8MAI","false","false","true","true","false","0.0","slide","true","false","false","false","","true","","","MappedSObjectHierarchyScreenResource","","90841620937672154","LLC_BI__Loan__c","false","false","","","","","false","false","","",""
"a2FHo000003XBXnMAO","","Editable Fields","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","a2GHo000001ueI6MAI","false","false","false","true","false","","slide","true","false","false","false","","false","","a2IHo000002BxyyMAC","MappedSObjectScreenResource","","46951620937672171","LLC_BI__Loan__c","false","false","","","","","false","false","","",""
"a2FHo000003XBXpMAO","","Collateral Summary","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","a2GHo000001ueJ2MAI","false","false","false","false","false","10.0","slide","true","false","false","false","","false","","a2IHo000002Bxw0MAC","MappedSObjectScreenResource","","a2FHo000003XBXpMAO","LLC_BI__Loan__c","false","false","","","","","false","false","","",""
"a2FHo000003XBXqMAO","","Collateral Details","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","a2GHo000001ueJ3MAI","false","false","false","false","false","10.0","slide","true","false","false","true","","false","","a2IHo000002Bxw1MAC","MappedSObjectHierarchyScreenResource","","a2FHo000003XBXqMAO","LLC_BI__Loan__c","false","false","","","","","false","false","","",""
"a2FHo000003XBY3MAO","","Deposits","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","a2GHo000001ueMDMAY","false","false","false","false","false","0.0","slide","true","false","false","false","","false","","a2IHo000002Bxw3MAC","GrandchildScreenResource","","a2FHo000003XBY3MAO","LLC_BI__Product_Package__c","false","false","","","","","false","false","","",""
"a2FHo000003XBcQMAW","","UI Config Builder - Section List","2023-10-31T13:56:27.000Z","005Ho00000AXMAwIAP","2023-11-03T19:42:44.000Z","005Ho00000AXM6UIAX","","","","a2GHo000001ueM6MAI","false","false","false","true","false","700.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","42462740097777573","nFORCE__Screen__c","false","false","","","","","false","false","","",""
"a2FHo000003XBcRMAW","","UI Config Builder - Field Configuration","2023-10-31T13:56:27.000Z","005Ho00000AXMAwIAP","2023-11-03T19:42:44.000Z","005Ho00000AXM6UIAX","","","","a2GHo000001ueM6MAI","false","false","false","true","false","800.0","slide","true","false","false","false","","true","","","MappedSObjectHierarchyScreenResource","","42325303067594960","nFORCE__Field_Configuration__c","false","false","","","","","false","false","","",""
"a2FHo000003XBcSMAW","","UI Config Builder - Add a New Conditional Screen Section","2023-10-31T13:56:27.000Z","005Ho00000AXMAwIAP","2023-11-03T19:42:44.000Z","005Ho00000AXM6UIAX","","","","a2GHo000001ueM6MAI","false","false","true","true","false","900.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42647477791041417","nFORCE__Screen_Section__c","false","false","","","","","false","false","","",""
"a2FHo000003XBcTMAW","","Loan Details","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:44.000Z","005Ho00000AXM6UIAX","","","","a2GHo000001ueJAMAY","false","false","true","true","false","0.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42885238446218305","LLC_BI__Loan__c","false","false","","","","","false","false","","",""
"a2FHo000003XBcUMAW","","Pricing","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:44.000Z","005Ho00000AXM6UIAX","","","","a2GHo000001ueJBMAY","false","false","true","true","false","1.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42695358678995837","LLC_BI__Loan__c","false","false","","","","","false","false","","",""
"a2FHo000003XBcVMAW","","Rate Structure","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:44.000Z","005Ho00000AXM6UIAX","","","","a2GHo000001ueJCMAY","false","false","true","true","false","2.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","42632549908986914","LLC_BI__Loan__c","false","false","","","","","false","false","","",""
"a2FHo000003XBcWMAW","","Payment Structure","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:44.000Z","005Ho00000AXM6UIAX","","","","a2GHo000001ueJDMAY","false","false","true","true","false","3.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","42308707868520612","LLC_BI__Loan__c","false","false","","","","","false","false","","",""
"a2FHo000003XBcXMAW","","Referral","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:44.000Z","005Ho00000AXM6UIAX","","","","a2GHo000001ueJEMAY","false","false","true","true","false","4.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42013506331028383","LLC_BI__Loan__c","false","false","","","","","false","false","","",""
"a2FHo000003XBcYMAW","","Balance Details","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:44.000Z","005Ho00000AXM6UIAX","","","","a2GHo000001ueJFMAY","false","false","true","true","false","5.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42372651311222183","LLC_BI__Loan__c","false","false","","","","","false","false","","",""
"a2FHo000003XBcZMAW","","Booked Details","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:42:44.000Z","005Ho00000AXM6UIAX","","","","a2GHo000001ueJGMAY","false","false","true","true","false","6.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42926917196790253","LLC_BI__Loan__c","false","false","","","","","false","false","","",""
