"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__Disable_Print__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","nFORCE__Disable_Read_Only_View__c","nPortal__Add_Multi_Record_Display_Icon__c","nPortal__Maximum_Number_of_Records__c","nPortal__Minimum_Number_of_Records__c","nPortal__OA_Review_Multiple_Record_Entry_Label__c"
"a2GHo000001ueI4MAI","005Ho00000AXM6UIAX","","Enhanced Fees Management","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42519280233404703","false","","","",""
"a2GHo000001ueI5MAI","005Ho00000AXM6UIAX","","System Properties","2023-10-31T13:56:27.000Z","005Ho00000AXMAwIAP","2023-11-03T19:39:28.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42283576814580241","false","","","",""
"a2GHo000001ueI6MAI","005Ho00000AXM6UIAX","","Editable Fields","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","30481620937671566","false","","","",""
"a2GHo000001ueIrMAI","005Ho00000AXM6UIAX","","Counterparty Report Topbar","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42851832252859441","false","","","",""
"a2GHo000001ueIsMAI","005Ho00000AXM6UIAX","","Treasury Service Maintenance","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42992811933823016","false","","","",""
"a2GHo000001ueItMAI","005Ho00000AXM6UIAX","","Available Screen Sections","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42518046726897075","false","","","",""
"a2GHo000001ueIuMAI","005Ho00000AXM6UIAX","","Available Screen Sections","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42026428621205577","false","","","",""
"a2GHo000001ueIvMAI","005Ho00000AXM6UIAX","","Available Screen Sections","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42668947043259055","false","","","",""
"a2GHo000001ueIwMAI","005Ho00000AXM6UIAX","","nCino UI Configuration Builder","2023-10-31T13:56:27.000Z","005Ho00000AXMAwIAP","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42311862257375707","false","","","",""
"a2GHo000001ueIxMAI","005Ho00000AXMAxIAP","","All Loan Facilities","2023-10-31T13:56:27.000Z","005Ho00000AXMAxIAP","2023-10-31T13:56:27.000Z","005Ho00000AXMAxIAP","","","","","","","false","true","dmwui-42861164296","false","","","",""
"a2GHo000001ueIyMAI","005Ho00000AXMAxIAP","","Row Edit","2023-10-31T13:56:27.000Z","005Ho00000AXMAxIAP","2023-10-31T13:56:27.000Z","005Ho00000AXMAxIAP","","","","","","","false","true","dmwui-42307143918","false","","","",""
"a2GHo000001ueIzMAI","005Ho00000AXMAxIAP","","All Treasury Services","2023-10-31T13:56:27.000Z","005Ho00000AXMAxIAP","2023-10-31T13:56:27.000Z","005Ho00000AXMAxIAP","","","","","","","false","true","dmwui-42393982789","false","","","",""
"a2GHo000001ueJ0MAI","005Ho00000AXMAxIAP","","Bulk Edit","2023-10-31T13:56:27.000Z","005Ho00000AXMAxIAP","2023-10-31T13:56:27.000Z","005Ho00000AXMAxIAP","","","","","","","false","true","dmwui-42975216429","false","","","",""
"a2GHo000001ueJ1MAI","005Ho00000AXMAxIAP","","Row Edit","2023-10-31T13:56:27.000Z","005Ho00000AXMAxIAP","2023-10-31T13:56:27.000Z","005Ho00000AXMAxIAP","","","","","","","false","true","dmwui-42142100344","false","","","",""
"a2GHo000001ueJ2MAI","005Ho00000AXM6UIAX","","Collateral Summary","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","a2GHo000001ueJ2MAI","false","","","",""
"a2GHo000001ueJ3MAI","005Ho00000AXM6UIAX","","Collateral Details","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","a2GHo000001ueJ3MAI","false","","","",""
"a2GHo000001ueJ4MAI","005Ho00000AXM6UIAX","","Certifications","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","a2GHo000001ueOsMAI","false","","","",""
"a2GHo000001ueJ5MAI","005Ho00000AXM6UIAX","","Total Exposure Screen","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42278923698642823","false","","","",""
"a2GHo000001ueJ6MAI","005Ho00000AXM6UIAX","","Participation","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42255938324133066","false","","","",""
"a2GHo000001ueJ7MAI","005Ho00000AXM6UIAX","","Syndications Summary","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:39:26.000Z","005Ho00000AXM6UIAX","","","","","","","false","true","42254700713997327","false","","","",""
