"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Layout__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Filter_Criteria__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c"
"a2HHo000002BhuUMAS","","SC-000011328","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:41:37.000Z","005Ho00000AXM6UIAX","","","","a2FHo000003XBXgMAO","2.02","LLC_BI__Manage_Fees_List_Enhanced","a2CHo000006EEg5MAG","a2HHo000002Bi3fMAC","LLC_BI__Fees__r","","42535968074535277","LLC_BI__Fee__c","LLC_BI__Status__c != Inactive","0.0","false","","false"
"a2HHo000002BhuVMAS","","SC-000011329","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:41:36.000Z","005Ho00000AXM6UIAX","","","","a2FHo000003XBXhMAO","1.01","LLC_BI__Add_Non_Standard_Fee","","","","","42445498812840928","LLC_BI__Fee__c","","","false","","false"
"a2HHo000002BhuWMAS","","SC-000011330","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-11-03T19:41:36.000Z","005Ho00000AXM6UIAX","","","","a2FHo000003XBXiMAO","1.01","LLC_BI__Enhanced_Fee_Loan_Aggregate_Summary","","","","","42381359561426432","LLC_BI__Fee_Loan_Aggregate__c","","","false","","false"
"a2HHo000002BhuXMAS","","SC-000011685","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","a2FHo000003XBXlMAO","2.02","LLC_BI__Manage_Fees_List_Enhanced","","a2HHo000002BiLQMA0","LLC_BI__Fees__r","","39841619447516045","LLC_BI__Fee__c","LLC_BI__Status__c != Inactive","","false","","false"
"a2HHo000002BhuYMAS","","SC-000011702","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","a2FHo000003XBXmMAO","2.02","LLC_BI__Manage_Fees_List_Enhanced","","a2HHo000002BiM8MAK","LLC_BI__Fees__r","","25811620937672786","LLC_BI__Fee__c","","","false","","false"
"a2HHo000002BhuZMAS","","SC-000011788","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","2023-10-31T13:56:27.000Z","005Ho00000AXM6UIAX","","","","a2FHo000003XBfQMAW","2.02","","a2CHo000006EEatMAG","a2HHo000002BhunMAC","LLC_BI__Loan_Facilities__r","","42620687442222393","LLC_BI__Loan__c","","0.0","false","","false"
"a2HHo000002BhuaMAC","","SC-000011790","2023-10-31T13:56:27.000Z","005Ho00000AXMAxIAP","2023-10-31T13:56:27.000Z","005Ho00000AXMAxIAP","","","","a2FHo000003XBstMAG","1.01","LLC_BI__Deal_Management_Loan_Tree_Grid","","","","","dmwui-42595567116","LLC_BI__Loan__c","[{""filterKey"":""activity"",""operator"":""="",""value"":[""active""],""isLocked"":false}]","","false","","false"
"a2HHo000002BhubMAC","","SC-000011791","2023-10-31T13:56:27.000Z","005Ho00000AXMAxIAP","2023-10-31T13:56:27.000Z","005Ho00000AXMAxIAP","","","","a2FHo000003XBsuMAG","1.01","LLC_BI__ReviewDisplay","","","","","dmwui-42958747140","LLC_BI__Loan__c","","","false","","false"
"a2HHo000002BhucMAC","","SC-000011792","2023-10-31T13:56:27.000Z","005Ho00000AXMAxIAP","2023-10-31T13:56:27.000Z","005Ho00000AXMAxIAP","","","","a2FHo000003XBsvMAG","1.01","LLC_BI__ReviewDisplay","","","","","dmwui-42088396753","LLC_BI__Loan__c","","","false","","false"
"a2HHo000002BhudMAC","","SC-000011793","2023-10-31T13:56:27.000Z","005Ho00000AXMAxIAP","2023-10-31T13:56:27.000Z","005Ho00000AXMAxIAP","","","","a2FHo000003XBswMAG","1.01","LLC_BI__Treasury_Services_Summary_UI","","","","","dmwui-42112875712","LLC_BI__Treasury_Service__c","[{""filterKey"":""LLC_BI__Is_Active__c"",""operator"":""="",""value"":""true"",""isLocked"":false}]","","false","","false"
"a2HHo000002BhueMAC","","SC-000011794","2023-10-31T13:56:27.000Z","005Ho00000AXMAxIAP","2023-10-31T13:56:27.000Z","005Ho00000AXMAxIAP","","","","a2FHo000003XBsxMAG","1.01","LLC_BI__Treasury_Services_Summary_UI","","","","","dmwui-42621134800","LLC_BI__Treasury_Service__c","","","false","","false"
"a2HHo000002BhufMAC","","SC-000011795","2023-10-31T13:56:27.000Z","005Ho00000AXMAxIAP","2023-10-31T13:56:27.000Z","005Ho00000AXMAxIAP","","","","a2FHo000003XBsyMAG","1.01","LLC_BI__Treasury_Services_Summary_UI","","","","","dmwui-42673872396","LLC_BI__Treasury_Service__c","","","false","","false"
